Distrito;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Centro;22,59;23,08;23,33;23,57;23,58;23,53;23,34;23,61;24;24,44;24,98;25,48
Arganzuela;18,05;18,57;19,06;19,16;19,37;19,59;19,65;19,88;20,16;20,45;20,43;20,3
Retiro;19,69;19,62;19,28;19,59;19,89;20,01;20,51;21,04;21,42;21,45;21,47;21,5
Salamanca;22,69;23,33;23,49;23,72;23,74;24;24;24,45;25;24,99;24,98;25,33
Chamartín;19,54;19,6;19,89;20,09;20,04;20,21;20,27;20,44;20,65;20,88;20,99;21,15
Tetuán;18,75;19,15;19,48;19,72;19,82;19,89;19,58;20;20,2;20,42;20,34;20,62
Chamberí;22,05;22,33;22,5;22,58;22,77;22,63;22,82;23,03;23,5;24,14;24,05;24,44
Fuencarral-El Pardo;14,45;14,61;14,87;15,02;15,52;15,74;15,91;16,1;16,12;16,09;15,99;16,01
Moncloa-Aravaca;18,06;18,35;18,24;18,25;18,36;19,12;19,41;19,43;19,68;19,79;19,44;19,55
Latina;15,02;15,8;15,79;15,72;15,46;15,72;15,84;16,29;16,69;17,04;16,96;17,01
Carabanchel;14,17;14,35;14,62;15;15;15,45;15,55;15,82;16,05;16,11;16,02;16,18
Usera;14,16;14,53;15,38;15,83;16;16,37;16,34;16,55;17,56;17,11;17,02;16,98
Puente de Vallecas;14,3;14,55;15,21;15,3;15,41;15,82;15,78;16,16;16,21;16,25;16,42;16,91
Moratalaz;13,55;13,09;13,54;14,2;14,53;14,77;14,78;14,49;14,52;14,67;15;15,07
Ciudad Lineal;15,83;16,19;16,26;16,49;16,65;16,98;17,09;17;17,19;17,22;17,19;17,4
Hortaleza;14,75;14,85;15,07;15,24;15,53;15,78;15,82;15,79;15,88;16,18;16,31;16,74
Villaverde;13,16;13,7;14,08;13,93;14,12;14,38;15;15,25;15,83;15,79;15;15,08
 Villa de Vallecas;13,25;13,57;14,01;14,3;14,55;14,27;14,25;14,35;14,68;14,98;15,14;15,15
 Vicálvaro;12,8;12,86;13,22;13,08;12,96;12,95;13,5;13,82;13,81;13,9;14,19;14,55
San Blas-Canillejas;13,92;13,99;14,12;14,54;14,6;14,97;14,94;14,77;14,79;15,18;15,16;15,14
Barajas;14,11;13,95;13,92;14,08;14,5;14,91;14,69;14,6;14,6;14,78;14,58;15,26
